zone_id,lat,lon,display_name,road,suburb,district,city,postcode,address_short
1,22.54041,114.103,"嘉宾路, 蔡屋围, 新围社区, 桂园街道, 罗湖区, 深圳市, 广东省, 518000, 中国",嘉宾路,桂园街道,N/A,罗湖区,518000,"嘉宾路, N/A, Shenzhen"
3,22.55127,114.1208,"翠园街, 螺岭社区, 东门街道, 罗湖区, 深圳市, 广东省, 518000, 中国",翠园街,东门街道,N/A,罗湖区,518000,"翠园街, N/A, Shenzhen"
5,22.54486,114.1304,"沿河南路, 文华社区, 黄贝街道, 罗湖区, 深圳市, 广东省, 518000, 中国",沿河南路,黄贝街道,N/A,罗湖区,518000,"沿河南路, N/A, Shenzhen"
6,22.55403,114.1315,"黄贝路, 怡景社区, 黄贝街道, 罗湖区, 深圳市, 广东省, 518000, 中国",黄贝路,黄贝街道,N/A,罗湖区,518000,"黄贝路, N/A, Shenzhen"
7,22.56388,114.143,"三孔桥, 水库社区, 黄贝街道, 罗湖区, 深圳市, 广东省, 518000, 中国",三孔桥,黄贝街道,N/A,罗湖区,518000,"三孔桥, N/A, Shenzhen"
8,22.54906,114.1434,"运发江洲大厦, 108, 罗芳路, 新兴社区, 黄贝街道, 罗湖区, 深圳市, 广东省, 518000, 中国",罗芳路,黄贝街道,N/A,罗湖区,518000,"罗芳路, N/A, Shenzhen"
9,22.5638,114.1278,"主园路, 翠岭社区, 翠竹街道, 罗湖区, 深圳市, 广东省, 518000, 中国",主园路,翠竹街道,N/A,罗湖区,518000,"主园路, N/A, Shenzhen"
10,22.56839,114.1143,"5, 洪湖西路, 洪湖, 北站社区, 笋岗街道, 罗湖区, 深圳市, 广东省, 518000, 中国",洪湖西路,笋岗街道,N/A,罗湖区,518000,"洪湖西路, N/A, Shenzhen"
13,22.58204,114.1498,"翠鹏社区, 东湖街道, 罗湖区, 深圳市, 广东省, 518000, 中国",N/A,东湖街道,N/A,罗湖区,518000,"N/A, Shenzhen"
14,22.5889,114.183,"鲲鹏径, 梧桐山社区, 东湖街道, 罗湖区, 深圳市, 广东省, 518000, 中国",鲲鹏径,东湖街道,N/A,罗湖区,518000,"鲲鹏径, N/A, Shenzhen"
15,22.55627,114.0532,"莲花西径, 福新社区, 莲花街道, 福田区, 深圳市, 广东省, 518000, 中国",莲花西径,莲花街道,N/A,福田区,518000,"莲花西径, N/A, Shenzhen"
17,22.5636,114.0622,"彩田路, 彩虹社区, 莲花街道, 福田区, 深圳市, 广东省, 518000, 中国",彩田路,莲花街道,N/A,福田区,518000,"彩田路, N/A, Shenzhen"
18,22.55055,114.0649,"1栋, 红荔路, 莲花三村社区, 华富街道, 福田区, 深圳市, 广东省, 518000, 中国",红荔路,华富街道,N/A,福田区,518000,"红荔路, N/A, Shenzhen"
19,22.53743,114.0652,"34栋, 福华路, 福山社区, 福田街道, 福田区, 深圳市, 广东省, 518000, 中国",福华路,福田街道,N/A,福田区,518000,"福华路, N/A, Shenzhen"
20,22.56371,114.0938,"八卦七路, 八卦岭工业区五区, 华林社区, 园岭街道, 福田区, 深圳市, 广东省, 518000, 中国",八卦七路,园岭街道,N/A,福田区,518000,"八卦七路, N/A, Shenzhen"
25,22.56655,114.0751,"探幽径, 华山社区, 华富街道, 福田区, 深圳市, 广东省, 518000, 中国",探幽径,华富街道,N/A,福田区,518000,"探幽径, N/A, Shenzhen"
26,22.54714,114.0711,"振华西路, 田面社区, 华富街道, 福田区, 深圳市, 广东省, 518000, 中国",振华西路,华富街道,N/A,福田区,518000,"振华西路, N/A, Shenzhen"
27,22.52743,114.0249,"上沙椰树路, 椰树村, 上沙社区, 沙头街道, 福田区, 深圳市, 广东省, 518000, 中国",上沙椰树路,沙头街道,N/A,福田区,518000,"上沙椰树路, N/A, Shenzhen"
28,22.50937,114.0478,"市花路, 福田保税区, 福保社区, 福保街道, 福田区, 深圳市, 广东省, 518000, 中国",市花路,福田保税区,N/A,福田区,518000,"市花路, N/A, Shenzhen"
29,22.52417,114.0698,"C, 百合三路, 口岸社区, 福田街道, 福田区, 深圳市, 广东省, 518000, 中国",百合三路,福田街道,N/A,福田区,518000,"百合三路, N/A, Shenzhen"
30,22.53302,114.0042,"白石路, 金城社区, 沙头街道, 福田区, 深圳市, 广东省, 518000, 中国",白石路,沙头街道,N/A,福田区,518000,"白石路, N/A, Shenzhen"
31,22.53539,114.0218,"苍松大厦, 25, 泰然七路, 泰然社区, 天安社区, 沙头街道, 福田区, 深圳市, 广东省, 518000, 中国",泰然七路,沙头街道,N/A,福田区,518000,"泰然七路, N/A, Shenzhen"
32,22.53703,114.0356,"深圳高尔夫俱乐部, 滨河大道, 新沙社区, 沙头街道, 福田区, 深圳市, 广东省, 518000, 中国",滨河大道,沙头街道,N/A,福田区,518000,"滨河大道, N/A, Shenzhen"
33,22.5753,114.0261,"二线公路, 龙尾社区, 梅林街道, 福田区, 深圳市, 广东省, 518000, 中国",二线公路,梅林街道,N/A,福田区,518000,"二线公路, N/A, Shenzhen"
34,22.49918,113.9412,"深圳湾社区, 蛇口街道, 南山区, 深圳市, 广东省, 518000, 中国",N/A,蛇口街道,N/A,南山区,518000,"N/A, Shenzhen"
35,22.49661,113.9013,"南山观景台, 招商街道, 南山区, 深圳市, 广东省, 518000, 中国",南山观景台,招商街道,N/A,南山区,518000,"南山观景台, N/A, Shenzhen"
39,22.56179,113.9181,"南山农产品批发零售中心, 1, 中山园路, 南联社区, 南头街道, 南山区, 深圳市, 广东省, 518000, 中国",中山园路,南头街道,N/A,南山区,518000,"中山园路, N/A, Shenzhen"
41,22.56008,113.9465,"朗松路, 松坪村, 松坪山社区, 西丽街道, 南山区, 深圳市, 广东省, 518000, 中国",朗松路,西丽街道,N/A,南山区,518000,"朗松路, N/A, Shenzhen"
42,22.54934,113.9473,"7栋, 青梧路, 科技园社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",青梧路,粤海街道,N/A,南山区,518000,"青梧路, N/A, Shenzhen"
43,22.54889,113.9344,"4栋, 高新中二道, 麻岭社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",高新中二道,粤海街道,N/A,南山区,518000,"高新中二道, N/A, Shenzhen"
44,22.53975,113.9469,"科技南八路, 高新区社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",科技南八路,粤海街道,N/A,南山区,518000,"科技南八路, N/A, Shenzhen"
45,22.53578,113.9319,"3688, 南海大道, 深大社区, 粤海街道, 南山区, 深圳市, 广东省, 518060, 中国",南海大道,粤海街道,N/A,南山区,518060,"南海大道, N/A, Shenzhen"
46,22.55032,113.9674,"波托菲诺纯水岸, 文昌街社区, 沙河街道, 南山区, 深圳市, 广东省, 518000, 中国",N/A,沙河街道,N/A,南山区,518000,"N/A, Shenzhen"
47,22.54486,113.9816,"香山东街, 华侨城创意文化园, 香山街社区, 沙河街道, 南山区, 深圳市, 广东省, 518053, 中国",香山东街,沙河街道,N/A,南山区,518053,"香山东街, N/A, Shenzhen"
48,22.53477,113.9746,"G25, 深南大道, 东方社区, 沙河街道, 南山区, 深圳市, 广东省, 518000, 中国",深南大道,沙河街道,N/A,南山区,518000,"深南大道, N/A, Shenzhen"
49,22.52735,113.9735,"深湾四路, 深超总社区, 沙河街道, 南山区, 深圳市, 广东省, 518000, 中国",深湾四路,沙河街道,N/A,南山区,518000,"深湾四路, N/A, Shenzhen"
50,22.54291,113.956,"深南大道, 白石洲西社区, 沙河街道, 南山区, 深圳市, 广东省, 518000, 中国",深南大道,沙河街道,N/A,南山区,518000,"深南大道, N/A, Shenzhen"
51,22.56437,113.9661,"深圳市交警局车辆管理所, 龙井路, 龙悦社区, 桃源街道, 南山区, 深圳市, 广东省, 518000, 中国",龙井路,桃源街道,N/A,南山区,518000,"龙井路, N/A, Shenzhen"
53,22.57965,113.9879,"双峰竞秀, 茶香径, 朗山社区, 桃源街道, 南山区, 深圳市, 广东省, 518000, 中国",茶香径,桃源街道,N/A,南山区,518000,"茶香径, N/A, Shenzhen"
56,22.58859,113.9575,"2栋, 学苑大道, 丽山社区, 桃源街道, 南山区, 深圳市, 广东省, 518000, 中国",学苑大道,桃源街道,N/A,南山区,518000,"学苑大道, N/A, Shenzhen"
58,22.60114,113.9934,"学生事务中心, 1088, 学苑大道, 福光社区, 桃源街道, 南山区, 深圳市, 广东省, 518055, 中国",学苑大道,桃源街道,N/A,南山区,518055,"学苑大道, N/A, Shenzhen"
59,22.62228,113.9558,"麻磡社区, 西丽街道, 南山区, 深圳市, 广东省, 518000, 中国",N/A,西丽街道,N/A,南山区,518000,"N/A, Shenzhen"
60,22.51618,113.9412,"深圳湾文化广场, 登良路隧道, 海珠社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",登良路隧道,粤海街道,N/A,南山区,518000,"登良路隧道, N/A, Shenzhen"
61,22.547435,114.1072,"桂园街道办事处, 桂园路, 桂木园社区, 桂园街道, 罗湖区, 深圳市, 广东省, 518000, 中国",桂园路,桂园街道,N/A,罗湖区,518000,"桂园路, N/A, Shenzhen"
62,22.57869,114.2732,"进港三路, 盐田港, 盐田街道, 盐田区, 深圳市, 广东省, 518000, 中国",进港三路,盐田街道,N/A,盐田区,518000,"进港三路, N/A, Shenzhen"
63,22.5991,114.2991,"大梅沙社区, 梅沙街道, 盐田区, 深圳市, 广东省, 518000, 中国",N/A,梅沙街道,N/A,盐田区,518000,"N/A, Shenzhen"
64,22.55102,113.8862,"海秀路, 宝安中心区, 海旺社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",海秀路,新安街道,N/A,宝安区,518100,"海秀路, N/A, Shenzhen"
65,22.55353,113.87,"金科路, 海裕社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",金科路,新安街道,N/A,宝安区,518100,"金科路, N/A, Shenzhen"
67,22.56845,113.9057,"灵芝园, 灵芝园社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",N/A,新安街道,N/A,宝安区,518100,"N/A, Shenzhen"
71,22.58677,113.8836,"流塘路, 河东社区, 西乡街道, 宝安区, 深圳市, 广东省, 518100, 中国",流塘路,西乡街道,N/A,宝安区,518100,"流塘路, N/A, Shenzhen"
72,22.60457,113.8733,"主园路, 凤凰岗社区, 西乡街道, 宝安区, 深圳市, 广东省, 518100, 中国",主园路,西乡街道,N/A,宝安区,518100,"主园路, N/A, Shenzhen"
74,22.59503,113.8579,"盐田社区, 西乡街道, 宝安区, 深圳市, 广东省, 518100, 中国",N/A,西乡街道,N/A,宝安区,518100,"N/A, Shenzhen"
75,22.59999,113.8368,"南昌路, 解放村, 固戍社区, 西乡街道, 宝安区, 深圳市, 广东省, 518100, 中国",南昌路,西乡街道,N/A,宝安区,518100,"南昌路, N/A, Shenzhen"
76,22.60986,113.8473,"66, 航城大道, 航城街道, 宝安区, 深圳市, 广东省, 518126, 中国",航城大道,航城街道,N/A,宝安区,518126,"航城大道, N/A, Shenzhen"
77,22.56334,113.8775,"罗田路, 海裕社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",罗田路,新安街道,N/A,宝安区,518100,"罗田路, N/A, Shenzhen"
78,22.56923,113.8627,"宁波银行, 138, 宝源路, 渔业社区, 西乡街道, 宝安区, 深圳市, 广东省, 518000, 中国",宝源路,西乡街道,N/A,宝安区,518000,"宝源路, N/A, Shenzhen"
79,22.57686,113.8533,"得丰·榕湾汇, 宝源路, 永丰社区, 西乡街道, 宝安区, 深圳市, 广东省, 518102, 中国",宝源路,西乡街道,N/A,宝安区,518102,"宝源路, N/A, Shenzhen"
81,22.61829,113.8582,"桃源三路, 桃源社区, 西乡街道, 宝安区, 深圳市, 广东省, 518100, 中国",桃源三路,西乡街道,N/A,宝安区,518100,"桃源三路, N/A, Shenzhen"
82,22.66277,113.8182,"怀德南路, 怀德社区, 福永街道, 宝安区, 深圳市, 广东省, 518100, 中国",怀德南路,福永街道,N/A,宝安区,518100,"怀德南路, N/A, Shenzhen"
88,22.78576,113.8485,"松罗路, 山门社区, 燕罗街道, 宝安区, 深圳市, 广东省, 518100, 中国",松罗路,燕罗街道,N/A,宝安区,518100,"松罗路, N/A, Shenzhen"
91,22.77567,113.8177,"松兴路, 江边社区, 松岗街道, 宝安区, 深圳市, 广东省, 518100, 中国",松兴路,松岗街道,N/A,宝安区,518100,"松兴路, N/A, Shenzhen"
92,22.77957,113.843,"山尾旧村, 松岗街道, 宝安区, 深圳市, 广东省, 518100, 中国",N/A,松岗街道,N/A,宝安区,518100,"N/A, Shenzhen"
94,22.74907,113.8309,"芙蓉西路, 新桥社区, 新桥街道, 宝安区, 深圳市, 广东省, 518100, 中国",芙蓉西路,新桥街道,N/A,宝安区,518100,"芙蓉西路, N/A, Shenzhen"
96,22.73523,113.8283,"新二村, 新桥街道, 宝安区, 深圳市, 广东省, 518100, 中国",N/A,新桥街道,N/A,宝安区,518100,"N/A, Shenzhen"
97,22.75813,113.8147,"大浦路, 步涌社区, 沙井街道, 宝安区, 深圳市, 广东省, 518100, 中国",大浦路,沙井街道,N/A,宝安区,518100,"大浦路, N/A, Shenzhen"
98,22.74147,113.8114,"6栋, 觉园西路, 辛养社区, 沙井街道, 宝安区, 深圳市, 广东省, 518100, 中国",觉园西路,沙井街道,N/A,宝安区,518100,"觉园西路, N/A, Shenzhen"
99,22.72675,113.8087,"宝华学校, 沙中路, 茭塘社区, 沙井街道, 宝安区, 深圳市, 广东省, 518100, 中国",沙中路,沙井街道,N/A,宝安区,518100,"沙中路, N/A, Shenzhen"
100,22.72127,113.8237,"上丽路, 沙企社区, 新桥街道, 宝安区, 深圳市, 广东省, 518100, 中国",上丽路,新桥街道,N/A,宝安区,518100,"上丽路, N/A, Shenzhen"
102,22.72746,113.7945,"万安路, 沙头社区, 沙井街道, 宝安区, 深圳市, 广东省, 518100, 中国",万安路,沙井街道,N/A,宝安区,518100,"万安路, N/A, Shenzhen"
103,22.70982,113.793,"沙福路, 沙井街道, 宝安区, 深圳市, 广东省, 518100, 中国",沙福路,沙井街道,N/A,宝安区,518100,"沙福路, N/A, Shenzhen"
104,22.68773,113.7904,"和平社区, 福海街道, 宝安区, 深圳市, 广东省, 518100, 中国",N/A,福海街道,N/A,宝安区,518100,"N/A, Shenzhen"
105,22.69107,113.8012,"桥头社区, 福海街道, 宝安区, 深圳市, 广东省, 518100, 中国",N/A,福海街道,N/A,宝安区,518100,"N/A, Shenzhen"
107,22.78574,113.8628,"薯田埔社区, 马田街道, 光明区, 深圳市, 广东省, 518107, 中国",N/A,马田街道,N/A,光明区,518107,"N/A, Shenzhen"
108,22.66496,113.9469,"S2, 龙眼山, 石岩街道, 宝安区, 深圳市, 广东省, 518100, 中国",S2,石岩街道,N/A,宝安区,518100,"S2, N/A, Shenzhen"
110,22.77903,113.8943,"福盈·中央山, 公明街道, 光明区, 深圳市, 广东省, 518107, 中国",N/A,公明街道,N/A,光明区,518107,"N/A, Shenzhen"
111,22.77263,113.8759,"鸿建路, 根竹园社区, 马田街道, 光明区, 深圳市, 广东省, 518107, 中国",鸿建路,马田街道,N/A,光明区,518107,"鸿建路, N/A, Shenzhen"
112,22.78994,113.8849,"上村社区, 公明街道, 光明区, 深圳市, 广东省, 518107, 中国",N/A,公明街道,N/A,光明区,518107,"N/A, Shenzhen"
113,22.75977,113.9039,"深圳市光明区实验学校, 东周路, 东坑, 凤凰街道, 光明区, 深圳市, 广东省, 518107, 中国",东周路,凤凰街道,N/A,光明区,518107,"东周路, N/A, Shenzhen"
114,22.73347,113.9186,"东长路, 甲子塘, 凤凰街道, 光明区, 深圳市, 广东省, 518107, 中国",东长路,凤凰街道,N/A,光明区,518107,"东长路, N/A, Shenzhen"
116,22.74363,113.8806,"南光高速, 马田街道, 光明区, 深圳市, 广东省, 518107, 中国",南光高速,马田街道,N/A,光明区,518107,"南光高速, N/A, Shenzhen"
119,22.71749,113.8933,"玉律大洋三路, 玉律社区, 玉塘街道, 光明区, 深圳市, 广东省, 518107, 中国",玉律大洋三路,玉塘街道,N/A,光明区,518107,"玉律大洋三路, N/A, Shenzhen"
120,22.72562,113.9708,"光明绿道, 凤凰街道, 光明区, 深圳市, 广东省, 518107, 中国",光明绿道,凤凰街道,N/A,光明区,518107,"光明绿道, N/A, Shenzhen"
125,22.75718,113.8882,"石家社区, 马田街道, 光明区, 深圳市, 广东省, 518107, 中国",N/A,马田街道,N/A,光明区,518107,"N/A, Shenzhen"
126,22.74968,113.9381,"牛山路, 光明社区, 光明街道, 光明区, 深圳市, 广东省, 518107, 中国",牛山路,光明街道,N/A,光明区,518107,"牛山路, N/A, Shenzhen"
128,22.63268,113.9979,"复兴路, 民治街道, 龙华区, 深圳市, 广东省, 518109, 中国",复兴路,民治街道,N/A,龙华区,518109,"复兴路, N/A, Shenzhen"
129,22.75218,114.0326,"清樟路, 黎光, 观澜街道, 龙华区, 深圳市, 广东省, 518110, 中国",清樟路,观澜街道,N/A,龙华区,518110,"清樟路, N/A, Shenzhen"
130,22.73902,114.0421,"桂香路, 库坑, 观澜街道, 龙华区, 深圳市, 广东省, 518110, 中国",桂香路,观澜街道,N/A,龙华区,518110,"桂香路, N/A, Shenzhen"
134,22.72003,114.0322,"丹坑, 福城街道, 龙华区, 深圳市, 广东省, 518110, 中国",N/A,福城街道,N/A,龙华区,518110,"N/A, Shenzhen"
135,22.70901,114.0211,"狮径, 福城街道, 龙华区, 深圳市, 广东省, 518110, 中国",N/A,福城街道,N/A,龙华区,518110,"N/A, Shenzhen"
137,22.72468,114.0445,"大布巷, 观澜街道, 龙华区, 深圳市, 广东省, 518110, 中国",N/A,观澜街道,N/A,龙华区,518110,"N/A, Shenzhen"
139,22.69842,114.0424,"求知路, 田竂, 观湖街道, 龙华区, 深圳市, 广东省, 518110, 中国",求知路,观湖街道,N/A,龙华区,518110,"求知路, N/A, Shenzhen"
140,22.60431,114.0312,"白石龙, 民治街道, 龙华区, 深圳市, 广东省, 518110, 中国",N/A,民治街道,N/A,龙华区,518110,"N/A, Shenzhen"
141,22.60524,114.0543,"民乐社区, 民治街道, 龙华区, 深圳市, 广东省, 518110, 中国",N/A,民治街道,N/A,龙华区,518110,"N/A, Shenzhen"
142,22.6145,114.0388,"民丰路, 民新社区, 民治街道, 龙华区, 深圳市, 广东省, 518110, 中国",民丰路,民治街道,N/A,龙华区,518110,"民丰路, N/A, Shenzhen"
143,22.6219,114.0489,"民康路, 民康社区, 民治街道, 龙华区, 深圳市, 广东省, 518110, 中国",民康路,民治街道,N/A,龙华区,518110,"民康路, N/A, Shenzhen"
144,22.62769,114.0334,"民治大道, 民强社区, 民治街道, 龙华区, 深圳市, 广东省, 518110, 中国",民治大道,民治街道,N/A,龙华区,518110,"民治大道, N/A, Shenzhen"
145,22.6245,114.0207,"31, 民繁路68号, 红山6979, 南源新村, 民治街道, 龙华区, 深圳市, 广东省, 518110, 中国",N/A,民治街道,N/A,龙华区,518110,"N/A, Shenzhen"
146,22.63789,114.0345,"8栋, 新牛路, 新牛社区, 民治街道, 龙华区, 深圳市, 广东省, 518110, 中国",新牛路,民治街道,N/A,龙华区,518110,"新牛路, N/A, Shenzhen"
147,22.63365,114.0548,"长发路, 里石排, 坂田街道, 龙岗区, 深圳市, 广东省, 518100, 中国",长发路,坂田街道,N/A,龙岗区,518100,"长发路, N/A, Shenzhen"
148,22.65522,114.0434,"清泉路, 鸿海科技集团, 伍屋, 龙华街道, 龙华区, 深圳市, 广东省, 518110, 中国",清泉路,龙华街道,N/A,龙华区,518110,"清泉路, N/A, Shenzhen"
149,22.65316,114.027,"东环一路, 共和, 狮头岭, 龙华街道, 龙华区, 深圳市, 广东省, 518110, 中国",东环一路,龙华街道,N/A,龙华区,518110,"东环一路, N/A, Shenzhen"
150,22.64512,114.018,"景龙中环路, 新牛社区, 民治街道, 龙华区, 深圳市, 广东省, 518110, 中国",景龙中环路,民治街道,N/A,龙华区,518110,"景龙中环路, N/A, Shenzhen"
151,22.66198,114.0191,"东环一路, 山咀头, 龙华街道, 龙华区, 深圳市, 广东省, 518110, 中国",东环一路,龙华街道,N/A,龙华区,518110,"东环一路, N/A, Shenzhen"
152,22.66432,114.0304,"龙华和平路, 弓村, 龙华街道, 龙华区, 深圳市, 广东省, 518110, 中国",龙华和平路,龙华街道,N/A,龙华区,518110,"龙华和平路, N/A, Shenzhen"
153,22.70269,113.9911,"新石社区工作站, 龙华环城绿道－大浪段, 新石社区, 大浪街道, 龙华区, 深圳市, 广东省, 518109, 中国",龙华环城绿道－大浪段,大浪街道,N/A,龙华区,518109,"龙华环城绿道－大浪段, N/A, Shenzhen"
154,22.60935,114.0739,"鸡公山隧道, 玉龙社区, 坂田街道, 龙岗区, 深圳市, 广东省, 518000, 中国",鸡公山隧道,坂田街道,N/A,龙岗区,518000,"鸡公山隧道, N/A, Shenzhen"
156,22.67147,113.9909,"规划一路, 华荣社区, 大浪街道, 龙华区, 深圳市, 广东省, 518109, 中国",规划一路,大浪街道,N/A,龙华区,518109,"规划一路, N/A, Shenzhen"
157,22.63661,114.0083,"新区大道, 简上, 民治街道, 龙华区, 深圳市, 广东省, 518110, 中国",新区大道,民治街道,N/A,龙华区,518110,"新区大道, N/A, Shenzhen"
159,22.7076,114.0773,"观平路, 新田社区, 观湖街道, 龙华区, 深圳市, 广东省, 518110, 中国",观平路,观湖街道,N/A,龙华区,518110,"观平路, N/A, Shenzhen"
160,22.68198,114.0807,"坂澜大道, 樟坑径上围, 观湖街道, 龙华区, 深圳市, 广东省, 518110, 中国",坂澜大道,观湖街道,N/A,龙华区,518110,"坂澜大道, N/A, Shenzhen"
162,22.67545,114.0542,"清庆路, 龙华街道, 龙华区, 深圳市, 广东省, 518110, 中国",清庆路,龙华街道,N/A,龙华区,518110,"清庆路, N/A, Shenzhen"
163,22.68646,114.0595,"嘉园幼儿园, 观盛四路, 樟坑径下围, 观湖街道, 龙华区, 深圳市, 广东省, 518110, 中国",观盛四路,观湖街道,N/A,龙华区,518110,"观盛四路, N/A, Shenzhen"
164,22.71845,114.095,"君新路, 凌屋, 观澜街道, 龙华区, 深圳市, 广东省, 518110, 中国",君新路,观澜街道,N/A,龙华区,518110,"君新路, N/A, Shenzhen"
165,22.65212,114.0844,"上雪竹径, 坂田街道, 龙岗区, 深圳市, 广东省, 518100, 中国",N/A,坂田街道,N/A,龙岗区,518100,"N/A, Shenzhen"
166,22.64887,114.0551,"隆平路, 华为技术有限公司, 泰山, 坂田街道, 龙岗区, 深圳市, 广东省, 518100, 中国",隆平路,坂田街道,N/A,龙岗区,518100,"隆平路, N/A, Shenzhen"
168,22.66157,114.0676,"坂雪岗大道, 岗头, 坂田街道, 龙岗区, 深圳市, 广东省, 518100, 中国",坂雪岗大道,坂田街道,N/A,龙岗区,518100,"坂雪岗大道, N/A, Shenzhen"
170,22.64999,114.068,"雪象学校, 坂澜大道, 下雪竹径, 坂田街道, 龙岗区, 深圳市, 广东省, 518100, 中国",坂澜大道,坂田街道,N/A,龙岗区,518100,"坂澜大道, N/A, Shenzhen"
171,22.62187,114.0605,"光雅园村, 光雅园, 坂田街道, 龙岗区, 深圳市, 广东省, 518100, 中国",N/A,坂田街道,N/A,龙岗区,518100,"N/A, Shenzhen"
172,22.62301,114.0729,"永香路, 大光磡, 坂田街道, 龙岗区, 深圳市, 广东省, 518100, 中国",永香路,坂田街道,N/A,龙岗区,518100,"永香路, N/A, Shenzhen"
175,22.69882,114.0604,"田竂, 观湖街道, 龙华区, 深圳市, 广东省, 518110, 中国",N/A,观湖街道,N/A,龙华区,518110,"N/A, Shenzhen"
176,22.64475,114.2461,"大万村, 园山街道, 龙岗区, 深圳市, 广东省, 518100, 中国",N/A,园山街道,N/A,龙岗区,518100,"N/A, Shenzhen"
177,22.62857,114.16,"简竹护理院, 简竹路, 丹平社区, 南湾街道, 龙岗区, 深圳市, 广东省, 518100, 中国",简竹路,南湾街道,N/A,龙岗区,518100,"简竹路, N/A, Shenzhen"
178,22.68114,114.0994,"清平高速, 平湖街道, 龙岗区, 深圳市, 广东省, 518100, 中国",清平高速,平湖街道,N/A,龙岗区,518100,"清平高速, N/A, Shenzhen"
180,22.67282,114.1176,"A, 新木路, 新木社区, 平湖街道, 龙岗区, 深圳市, 广东省, 518100, 中国",新木路,平湖街道,N/A,龙岗区,518100,"新木路, N/A, Shenzhen"
